Especie;Year;Month;Flag;Lat;Lon;Valor
FALn;1994;8;COL;3.5;-83.5;8
FALn;1994;8;COL;4.5;-84.5;13
FALn;1994;8;MEX;9.5;-131.5;1
FALn;1994;8;MEX;9.5;-128.5;1
FALn;1994;8;MEX;10.5;-133.5;1
FALn;1994;8;MEX;10.5;-131.5;42
FALn;1994;8;MEX;10.5;-124.5;1
FALn;1994;8;MEX;10.5;-123.5;1
FALn;1994;8;Other;1.5;-98.5;5
FALn;1994;8;Other;3.5;-91.5;8
FALn;1994;8;VEN;8.5;-83.5;1
FALn;1994;8;VEN;10.5;-86.5;1
FALn;1994;8;VEN;10.5;-85.5;1
FALn;1994;8;VUT;-10.5;-101.5;2
FALn;1994;8;VUT;-7.5;-106.5;2
FALn;1994;8;VUT;-7.5;-105.5;6
FALn;1994;8;VUT;1.5;-105.5;9
FALn;1994;8;VUT;1.5;-104.5;5
FALn;1994;8;VUT;1.5;-88.5;1
FALn;1994;8;VUT;2.5;-105.5;1
FALn;1994;8;VUT;3.5;-107.5;10
FALn;1994;8;VUT;3.5;-98.5;5
FALn;1994;8;VUT;3.5;-93.5;5
FALn;1994;8;VUT;7.5;-96.5;4
FALn;1994;8;VUT;7.5;-79.5;5
FALn;1994;8;VUT;8.5;-96.5;15
FALn;1994;8;VUT;8.5;-88.5;4
FALn;1994;9;COL;1.5;-98.5;1
FALn;1994;9;ECU;-0.5;-88.5;1
FALn;1994;9;ECU;1.5;-99.5;44
FALn;1994;9;ECU;2.5;-98.5;15
FALn;1994;9;ECU;2.5;-97.5;33
FALn;1994;9;ECU;3.5;-99.5;1
FALn;1994;9;ECU;5.5;-94.5;20
FALn;1994;9;MEX;0.5;-84.5;11
FALn;1994;9;MEX;22.5;-107.5;1
FALn;1994;9;Other;1.5;-100.5;30
FALn;1994;9;Other;1.5;-99.5;5
FALn;1994;9;Other;2.5;-102.5;8
FALn;1994;9;Other;2.5;-100.5;2
FALn;1994;9;Other;2.5;-99.5;4
FALn;1994;9;Other;2.5;-98.5;1
FALn;1994;9;Other;3.5;-103.5;5
FALn;1994;9;Other;3.5;-102.5;2
FALn;1994;9;Other;3.5;-101.5;17
FALn;1994;9;Other;3.5;-100.5;35
FALn;1994;9;Other;3.5;-99.5;5
FALn;1994;9;Other;3.5;-98.5;51
FALn;1994;9;Other;4.5;-98.5;11
FALn;1994;9;USA;-8.5;-124.5;1
FALn;1994;9;USA;-7.5;-122.5;2
FALn;1994;9;USA;-7.5;-117.5;1
FALn;1994;9;VUT;0.5;-105.5;25
FALn;1994;9;VUT;0.5;-102.5;44
FALn;1994;9;VUT;1.5;-102.5;2
FALn;1994;9;VUT;2.5;-101.5;1
FALn;1994;9;VUT;2.5;-97.5;1
FALn;1994;9;VUT;3.5;-98.5;7
FALn;1994;9;VUT;3.5;-97.5;7
FALn;1994;9;VUT;4.5;-104.5;4
FALn;1994;9;VUT;4.5;-103.5;1
FALn;1994;9;VUT;7.5;-100.5;5
FALn;1994;9;VUT;8.5;-100.5;2
FALn;1994;10;COL;0.5;-103.5;8
FALn;1994;10;COL;1.5;-105.5;55
FALn;1994;10;COL;1.5;-96.5;50
FALn;1994;10;COL;2.5;-100.5;76
FALn;1994;10;COL;2.5;-99.5;9
FALn;1994;10;COL;2.5;-96.5;7
FALn;1994;10;COL;3.5;-105.5;42
FALn;1994;10;COL;7.5;-78.5;5
FALn;1994;10;ECU;3.5;-99.5;3
FALn;1994;10;MEX;1.5;-101.5;1
FALn;1994;10;MEX;2.5;-99.5;15
FALn;1994;10;MEX;3.5;-99.5;40
FALn;1994;10;MEX;3.5;-98.5;1
FALn;1994;10;MEX;3.5;-93.5;16
FALn;1994;10;MEX;12.5;-108.5;1
FALn;1994;10;Other;1.5;-103.5;12
FALn;1994;10;Other;1.5;-102.5;3
FALn;1994;10;Other;1.5;-101.5;20
FALn;1994;10;Other;2.5;-101.5;3
FALn;1994;10;Other;2.5;-100.5;40
FALn;1994;10;Other;3.5;-101.5;15
FALn;1994;10;Other;3.5;-100.5;5
FALn;1994;10;Other;3.5;-97.5;11
FALn;1994;10;VEN;10.5;-122.5;3
FALn;1994;10;VEN;12.5;-124.5;6
FALn;1994;10;VEN;12.5;-121.5;1
FALn;1994;10;VEN;12.5;-120.5;8
FALn;1994;10;VUT;1.5;-100.5;1
FALn;1994;10;VUT;10.5;-90.5;6
FALn;1994;10;VUT;11.5;-91.5;8
FALn;1994;10;VUT;11.5;-90.5;8
FALn;1994;11;COL;-3.5;-99.5;12
FALn;1994;11;COL;-2.5;-102.5;21
FALn;1994;11;COL;-2.5;-101.5;7
FALn;1994;11;COL;-2.5;-100.5;7
FALn;1994;11;COL;-2.5;-99.5;15
FALn;1994;11;COL;-2.5;-98.5;2
FALn;1994;11;COL;-1.5;-102.5;18
FALn;1994;11;COL;-1.5;-100.5;5
FALn;1994;11;COL;-1.5;-98.5;3
FALn;1994;11;COL;0.5;-102.5;14
FALn;1994;11;COL;0.5;-100.5;4
FALn;1994;11;COL;0.5;-98.5;49
FALn;1994;11;COL;0.5;-97.5;28
FALn;1994;11;COL;1.5;-104.5;32
FALn;1994;11;COL;1.5;-103.5;3
FALn;1994;11;COL;1.5;-102.5;15
FALn;1994;11;COL;2.5;-103.5;11
FALn;1994;11;COL;2.5;-102.5;8
FALn;1994;11;COL;3.5;-99.5;16
FALn;1994;11;MEX;2.5;-102.5;2
FALn;1994;11;MEX;10.5;-91.5;1
FALn;1994;11;MEX;15.5;-98.5;1
FALn;1994;11;MEX;15.5;-96.5;2
FALn;1994;11;USA;-1.5;-110.5;11
FALn;1994;12;COL;-9.5;-88.5;8
FALn;1994;12;COL;-2.5;-105.5;1
FALn;1994;12;COL;1.5;-108.5;13
FALn;1994;12;COL;1.5;-100.5;2
FALn;1994;12;COL;2.5;-109.5;14
FALn;1994;12;COL;2.5;-105.5;21
FALn;1994;12;COL;2.5;-103.5;31
FALn;1994;12;COL;2.5;-102.5;35
FALn;1994;12;COL;3.5;-105.5;13
FALn;1994;12;COL;3.5;-103.5;39
FALn;1994;12;COL;3.5;-102.5;13
FALn;1994;12;USA;2.5;-105.5;14
FALn;1994;12;USA;2.5;-97.5;18
FALn;1994;12;USA;2.5;-96.5;4
FALn;1994;12;VEN;-6.5;-99.5;6
FALn;1994;12;VEN;-5.5;-97.5;4
FALn;1994;12;VEN;-4.5;-96.5;1
FALn;1994;12;VEN;7.5;-88.5;4
FALn;1995;1;COL;-11.5;-87.5;5
FALn;1995;1;COL;0.5;-95.5;5
FALn;1995;1;COL;1.5;-95.5;5
FALn;1995;1;COL;2.5;-95.5;5
FALn;1995;1;COL;2.5;-94.5;6
FALn;1995;1;COL;2.5;-93.5;40
FALn;1995;1;COL;4.5;-90.5;12
FALn;1995;1;COL;4.5;-89.5;5
FALn;1995;1;USA;-15.5;-79.5;8
FALn;1995;1;USA;-15.5;-78.5;1
FALn;1995;1;USA;-13.5;-85.5;5
FALn;1995;1;USA;-9.5;-92.5;2
FALn;1995;1;USA;-3.5;-107.5;7
FALn;1995;1;USA;-2.5;-107.5;3
FALn;1995;1;USA;-2.5;-105.5;24
FALn;1995;1;USA;-2.5;-99.5;1
FALn;1995;1;USA;-1.5;-98.5;6
FALn;1995;1;USA;1.5;-107.5;7
FALn;1995;1;USA;1.5;-102.5;10
FALn;1995;1;USA;2.5;-98.5;4
FALn;1995;1;USA;5.5;-101.5;27
FALn;1995;1;VEN;10.5;-91.5;1
FALn;1995;1;VEN;11.5;-91.5;1
FALn;1995;1;VUT;-5.5;-93.5;2
FALn;1995;1;VUT;-4.5;-95.5;2
FALn;1995;1;VUT;2.5;-91.5;3
FALn;1995;1;VUT;2.5;-88.5;9
FALn;1995;1;VUT;3.5;-91.5;3
FALn;1995;2;COL;-15.5;-82.5;22
FALn;1995;2;COL;-12.5;-87.5;5
FALn;1995;2;COL;-10.5;-85.5;8
FALn;1995;2;COL;-10.5;-84.5;10
FALn;1995;2;COL;-9.5;-85.5;13
FALn;1995;2;COL;-9.5;-84.5;1
FALn;1995;2;COL;-5.5;-86.5;1
FALn;1995;2;MEX;18.5;-112.5;8
FALn;1995;2;MEX;23.5;-108.5;1
FALn;1995;2;MEX;24.5;-108.5;1
FALn;1995;2;USA;-15.5;-84.5;3
FALn;1995;2;USA;-15.5;-82.5;3
FALn;1995;2;USA;-15.5;-81.5;8
FALn;1995;2;USA;-15.5;-80.5;1
FALn;1995;2;USA;-14.5;-83.5;7
FALn;1995;2;USA;-14.5;-82.5;44
FALn;1995;2;USA;-14.5;-81.5;33
FALn;1995;2;USA;-14.5;-80.5;17
FALn;1995;2;USA;-14.5;-79.5;45
FALn;1995;2;VEN;-3.5;-105.5;10
FALn;1995;2;VEN;-2.5;-110.5;1
FALn;1995;2;VEN;1.5;-108.5;1
FALn;1995;2;VUT;-6.5;-96.5;2
FALn;1995;2;VUT;-5.5;-110.5;1
FALn;1995;2;VUT;-5.5;-102.5;2
FALn;1995;2;VUT;-5.5;-96.5;3
FALn;1995;2;VUT;-4.5;-102.5;20
FALn;1995;2;VUT;-3.5;-103.5;8
FALn;1995;2;VUT;-3.5;-102.5;3
FALn;1995;2;VUT;-2.5;-102.5;8
FALn;1995;2;VUT;6.5;-86.5;4
FALn;1995;2;VUT;6.5;-85.5;1
FALn;1995;3;COL;-10.5;-86.5;8
FALn;1995;3;COL;-9.5;-85.5;22
FALn;1995;3;COL;-8.5;-85.5;29
FALn;1995;3;COL;-8.5;-84.5;18
FALn;1995;3;COL;-7.5;-87.5;6
FALn;1995;3;COL;-7.5;-86.5;4
FALn;1995;3;COL;-7.5;-85.5;6
FALn;1995;3;COL;-3.5;-92.5;9
FALn;1995;3;COL;-3.5;-91.5;13
FALn;1995;3;COL;2.5;-83.5;1
FALn;1995;3;ECU;7.5;-103.5;28
FALn;1995;3;ECU;8.5;-103.5;3
FALn;1995;3;ECU;8.5;-97.5;5
